 ztdem01               -8.2535423279E+01    
 ztdem02               -8.3370552063E+01    
 ztdem03               -5.6949928284E+01    
 ztdem05               -7.9126701355E+01    
 ztdem08               -8.2923706055E+01    
 ztdem12               -5.9559246063E+01    
 ztdem14               -7.5873214722E+01    
 ztdem15               -8.1747383118E+01    
 ztdem17               -9.1642990112E+01    
 ztdem20               -8.6976371765E+01    
 ztdem21               -8.7327735901E+01    
 ztdem22               -8.9621574402E+01    
 ztdem32               -8.3696525574E+01    
 ztdem33               -8.4681274414E+01    
 ztdem34               -8.3072250366E+01    
 ztdem35               -4.0452178955E+01    
 ztdem37               -6.4864532471E+01    
 ztdem41               -9.3721412659E+01    
 ztdem42               -9.6088188171E+01    
 ztdem43               -8.5767143250E+01    
 ztdem44               -8.1595001221E+01    
 ztdem45               -7.4302650452E+01    
 ztdem46               -6.8761444092E+01    
 ztdem47               -3.5413421631E+01    
 ztdem48               -5.8217250824E+01    
 ztdem49               -5.7878696442E+01    
 ztdem51               -5.7481521606E+01    
 ztdem52               -6.2525585175E+01    
 ztdem53               -7.4744331360E+01    
 ztdem54               -7.9569557190E+01    
 ztdem55               -8.3103210449E+01    
 ztdem56               -8.6466392517E+01    
 ztdem57               -8.6116447449E+01    
 ztdem58               -8.9402664185E+01    
 ztdem59               -7.8473098755E+01    
 ztdem61               -8.3502105713E+01    
 ztdem62               -5.1013187408E+01    
 ztdem63               -6.8900909424E+01    
 ztdem64               -7.7699897766E+01    
 ztdem65               -9.0693038940E+01    
 ztdem66               -9.0119705200E+01    
 ztdem68               -8.0611457825E+01    
 ztdem69               -5.1903099060E+01    
 ztdem71               -6.6447738647E+01    
 ztdem74               -7.3232299805E+01    
 ztdem75               -6.4109252930E+01    
 ztdem80               -6.1553943634E+01    
 ztdem81               -4.9788185120E+01    
