child,parent_1,parent_2,parent_3
GEN=52_MEMBER=36_DE,GEN=50_MEMBER=1475_DE,GEN=50_MEMBER=1480_DE,GEN=35_MEMBER=1039_DE,GEN=51_MEMBER=24_DE
GEN=52_MEMBER=37_DE,GEN=50_MEMBER=1480_DE,GEN=14_MEMBER=403_DE,GEN=39_MEMBER=1165_DE,GEN=51_MEMBER=6_DE
GEN=52_MEMBER=38_DE,GEN=30_MEMBER=870_DE,GEN=50_MEMBER=1475_DE,GEN=42_MEMBER=1237_DE,GEN=35_MEMBER=1039_DE
GEN=52_MEMBER=39_DE,GEN=47_MEMBER=1388_DE,GEN=6_MEMBER=158_DE,GEN=50_MEMBER=1480_DE,GEN=26_MEMBER=762_DE
GEN=52_MEMBER=40_DE,GEN=43_MEMBER=1266_DE,GEN=20_MEMBER=588_DE,GEN=17_MEMBER=502_DE,GEN=51_MEMBER=6_DE
GEN=52_MEMBER=41_DE,GEN=30_MEMBER=870_DE,GEN=6_MEMBER=158_DE,GEN=49_MEMBER=1445_DE,GEN=39_MEMBER=1165_DE
GEN=52_MEMBER=42_DE,GEN=40_MEMBER=1186_DE,GEN=43_MEMBER=1266_DE,GEN=17_MEMBER=502_DE,GEN=51_MEMBER=4_DE
GEN=52_MEMBER=43_DE,GEN=30_MEMBER=870_DE,GEN=40_MEMBER=1186_DE,GEN=43_MEMBER=1266_DE,GEN=49_MEMBER=1445_DE
GEN=52_MEMBER=44_DE,GEN=47_MEMBER=1388_DE,GEN=45_MEMBER=1330_DE,GEN=39_MEMBER=1165_DE,GEN=51_MEMBER=6_DE
GEN=52_MEMBER=45_DE,GEN=35_MEMBER=1039_DE,GEN=39_MEMBER=1165_DE,GEN=51_MEMBER=6_DE,GEN=51_MEMBER=13_DE
GEN=52_MEMBER=46_DE,GEN=40_MEMBER=1186_DE,GEN=43_MEMBER=1266_DE,GEN=6_MEMBER=158_DE,GEN=20_MEMBER=588_DE
GEN=52_MEMBER=47_DE,GEN=30_MEMBER=870_DE,GEN=50_MEMBER=1475_DE,GEN=42_MEMBER=1237_DE,GEN=39_MEMBER=1165_DE
GEN=52_MEMBER=48_DE,GEN=30_MEMBER=870_DE,GEN=47_MEMBER=1388_DE,GEN=43_MEMBER=1266_DE,GEN=50_MEMBER=1480_DE
GEN=52_MEMBER=49_DE,GEN=30_MEMBER=870_DE,GEN=50_MEMBER=1480_DE,GEN=14_MEMBER=403_DE,GEN=33_MEMBER=966_DE
GEN=52_MEMBER=50_DE,GEN=50_MEMBER=1475_DE,GEN=43_MEMBER=1266_DE,GEN=17_MEMBER=502_DE,GEN=51_MEMBER=6_DE
GEN=52_MEMBER=51_DE,GEN=30_MEMBER=870_DE,GEN=50_MEMBER=1475_DE,GEN=47_MEMBER=1388_DE,GEN=14_MEMBER=403_DE
GEN=52_MEMBER=52_DE,GEN=30_MEMBER=870_DE,GEN=45_MEMBER=1330_DE,GEN=35_MEMBER=1039_DE,GEN=51_MEMBER=24_DE
GEN=52_MEMBER=53_DE,GEN=26_MEMBER=752_DE,GEN=47_MEMBER=1388_DE,GEN=43_MEMBER=1266_DE,GEN=45_MEMBER=1330_DE
GEN=52_MEMBER=54_DE,GEN=40_MEMBER=1186_DE,GEN=42_MEMBER=1237_DE,GEN=39_MEMBER=1165_DE,GEN=33_MEMBER=966_DE
GEN=52_MEMBER=55_DE,GEN=50_MEMBER=1475_DE,GEN=43_MEMBER=1266_DE,GEN=6_MEMBER=158_DE,GEN=45_MEMBER=1330_DE
GEN=52_MEMBER=56_DE,GEN=47_MEMBER=1388_DE,GEN=45_MEMBER=1330_DE,GEN=51_MEMBER=6_DE,GEN=51_MEMBER=11_DE
GEN=52_MEMBER=57_DE,GEN=30_MEMBER=870_DE,GEN=50_MEMBER=1475_DE,GEN=26_MEMBER=752_DE,GEN=50_MEMBER=1480_DE
GEN=52_MEMBER=58_DE,GEN=47_MEMBER=1388_DE,GEN=43_MEMBER=1266_DE,GEN=20_MEMBER=588_DE,GEN=51_MEMBER=13_DE
GEN=52_MEMBER=59_DE,GEN=43_MEMBER=1266_DE,GEN=45_MEMBER=1330_DE,GEN=50_MEMBER=1480_DE,GEN=20_MEMBER=588_DE
GEN=53_MEMBER=60_DE,GEN=50_MEMBER=1480_DE,GEN=42_MEMBER=1237_DE,GEN=35_MEMBER=1039_DE,GEN=49_MEMBER=1445_DE
GEN=53_MEMBER=61_DE,GEN=40_MEMBER=1186_DE,GEN=47_MEMBER=1388_DE,GEN=50_MEMBER=1480_DE,GEN=26_MEMBER=762_DE
GEN=53_MEMBER=62_DE,GEN=26_MEMBER=752_DE,GEN=47_MEMBER=1388_DE,GEN=42_MEMBER=1237_DE,GEN=17_MEMBER=502_DE
GEN=53_MEMBER=63_DE,GEN=30_MEMBER=870_DE,GEN=26_MEMBER=752_DE,GEN=47_MEMBER=1388_DE,GEN=17_MEMBER=502_DE
GEN=53_MEMBER=64_DE,GEN=42_MEMBER=1237_DE,GEN=49_MEMBER=1445_DE,GEN=14_MEMBER=403_DE,GEN=17_MEMBER=502_DE
GEN=53_MEMBER=65_DE,GEN=30_MEMBER=870_DE,GEN=47_MEMBER=1388_DE,GEN=43_MEMBER=1266_DE,GEN=33_MEMBER=966_DE
