,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
1,591.9671656629479,545.1357901140216,611.3082352749246,817.0685295324449,433.3588771975513,527.3948085487572,538.3118054537529,622.9269576497514,518.2627281413637,537.5100999786107,533.0368861123827,590.4205932934053,470.85864312129377,531.6178155927523,592.0784779252549,464.2366669190968,566.5231178276862,614.5893134996659,519.3284058343672,561.5517558715959,572.8167660093874,618.6992923793163,573.8463225068904,540.096759699213,515.2207937399659,472.4904028707965,381.6703829308748,444.05577403840243,579.7664233666864,515.6677470079395
2,449.3861972614851,467.0688906550793,522.2562469925149,437.35732441235325,513.7233748943388,629.4872793838665,563.6316703147554,567.3858542602707,462.825208726354,393.25057948068434,577.0951242866865,392.5327387161184,523.0149057250134,527.224427308817,636.7135253798183,517.8357394893094,453.9160318768165,505.30976733308154,394.0837643160713,577.0939940284552,415.3754886296879,541.2180598418064,553.5999794089558,527.937251313405,389.4451851126164,577.7284768020488,458.6223549230931,844.1581394713652,558.9035634951357,390.6717408207907
3,441.88510145128726,430.98530244055354,612.0125690884433,607.4769493910408,426.4700927424124,504.45095867415955,500.5016338417827,509.29604608910216,356.92068447064395,680.0107566056181,583.8421040742907,608.5906340170325,558.845732947646,435.1267250399969,495.5992408545497,545.8676211073896,450.34607591556687,539.0900252669295,561.503256850293,566.1263882633364,580.1576860067846,688.5545644150673,689.8791974664776,418.7084677133212,599.6224447369634,443.7245831434105,532.6675079681679,645.0889320038985,537.4501588024704,562.1886232422314
4,490.8125135369776,570.2625371162336,600.7103819660958,662.2399326131716,524.6174752787998,438.3849087486403,490.5511477981976,657.9972887301537,592.3743329464133,516.3988358072348,528.9932292946211,613.8831408155395,527.9966931818501,612.2510116316851,442.9153119943971,480.5438214971604,391.5921371912468,527.2333908432831,505.80299026824946,450.04925192255115,487.4006298816942,617.0744401871119,485.15201830824265,411.965338778354,520.6040676974054,415.8999878639418,641.931171335336,434.5066171923527,450.52603421747216,621.2729872003567
5,403.49610344672027,603.5618404969355,494.21930668629886,650.6609518734255,438.1193540916199,524.998575233816,503.1083445562193,627.345914638897,643.6267226853361,479.2956169527957,376.06695597397294,480.17347172970767,499.5789905711525,579.9944539348028,649.5357503680011,484.9514488719302,488.8652404673885,642.8463005585032,678.8615988157734,510.6185622889879,379.713638481285,401.56034078316515,567.7459495640553,464.5092945692543,330.53084822861484,557.2925691890197,404.00763777092925,339.2093480882967,433.68566853358476,446.7732096154591
6,354.7930911623414,604.6474483911643,484.1754129782866,330.0990341047638,495.60270782965773,532.1759010241092,448.49945115960173,518.3803344757378,655.1490261829562,429.0949550967578,658.6778778432117,488.5170631631006,522.9703613140952,443.51610711248054,489.301118686399,517.2146128999464,497.19856576593105,345.68490465801347,517.480054968022,611.9793741493479,593.9191851203336,607.1373726595555,562.6961736504155,498.77786663439565,352.59212123165634,502.2188088944455,514.9497409846032,639.7272630261041,613.3260311548755,430.04827392518956
7,652.9462268007245,497.9295587781915,646.7904309833647,497.29815747548736,498.22978179657787,378.68648608951383,584.9137716039073,465.2137804092615,544.9905640817661,463.2497938298383,551.590313181726,484.90257089665664,390.10188418640837,557.4638557478844,609.5612007560346,528.1839597952473,437.80091653923154,500.30402472874425,380.66976746284564,757.8165130593545,384.8257665459847,498.51884723788936,409.8303450521651,639.1334486333765,436.96375490825307,634.7570211543351,535.2474563666192,481.55608929576476,631.9808464160038,581.1305919062261
8,588.7332582420177,545.6756288493235,563.1422385853732,575.1493163497939,716.7307812622284,437.86563729200543,441.6485141371161,453.5955831139151,429.1490979044181,729.6955660276403,489.8450507232344,503.67984308172026,547.710471846056,588.0272929362362,707.5118965142241,456.50273038634515,499.72498209371685,435.1014629120923,492.1204592480454,529.6306741366162,264.05291926753017,522.8241265488703,547.307555231647,417.6643486249792,463.15519839053957,349.50013088616794,649.6730379358929,452.2454507117168,422.5605649713984,416.9554879831644
9,737.9696847529098,395.23648595443956,453.1135461560231,596.7233364520749,425.952995316308,554.4157874352494,490.158052181162,632.1167411911489,757.5959397938927,606.0392363225402,442.06514197339584,510.32872143396145,433.2696890533423,625.5933113913666,469.8119638143779,538.8174060526562,440.1226079878553,491.128233405474,466.8569416341921,430.2565669745474,508.33912346543514,482.2627779750626,571.2647075485432,469.5754867316493,429.3911944768043,598.3474570588679,551.1897640995495,617.1046157664125,480.10497194629136,448.1875508321407
10,760.039794125567,767.2466072055253,287.05581036127654,438.94512850053593,496.5627311438694,458.0757817836791,507.9363138382528,607.0714913527695,749.4654266907207,371.37549551093167,530.6376043413849,374.19640946591,552.2495301072955,367.08463059658226,472.7740534317014,481.43210705265926,366.3480026056287,356.7596782396127,315.13900757188907,379.5670934877737,335.29137262841357,483.4095538431576,365.8319487151081,696.7203152482587,516.307395578624,517.9751591745277,702.9659268513383,594.362961838611,533.5899771817982,390.4937490906047
