iteration,total_runs,obs_realization,par_realization,hmuni,hdeep,hshallow,v_lens,zert,zmuni,l_zmuni_pct,zwells,ztdem
0,178,74,74,500.827,157.692,2073.24,0,8854.6,0,0,7792.14,9765.08
0,178,76,76,382.496,62.6154,927.563,0,6575.7,0,0,2456,5967.28
0,178,77,77,149.911,37.5735,618.001,0,7438.46,0,0,8269.59,9341.23
0,178,78,78,1753.16,314.837,7564.76,0,27317.7,0,0,16742.2,34691.4
0,178,79,79,717.195,73.2324,2143.89,0,3627.82,0,0,2973.43,4811.11
0,178,80,80,1511.08,3310.21,8531.41,0,53164.3,0,0,80597.5,61135.6
0,178,81,81,241.892,90.7572,550.332,0,7371.24,0,0,8295.02,8962.37
0,178,82,82,227.749,156.109,142.818,0,10436.1,0,0,14689.4,13143.9
0,178,84,84,99.8567,12.4687,260.969,0,2078.61,0,0,1251.68,2155.08
0,178,85,85,4175.61,2827.93,17691.9,0,56828.7,0,0,50427.3,62332.1
0,178,86,86,693.552,360.733,3703.23,0,18428.5,0,0,15129.1,17544.9
0,178,87,87,2760.25,1730.36,11273.7,0,41376,0,0,40611.8,47781
0,178,88,88,186.991,171.183,398.708,0,5672.7,0,0,9389.81,6899.99
0,178,89,89,461.686,66.1064,2450.45,0,7025.76,0,0,6855.92,9911.36
0,178,90,90,161.084,73.0645,44.5922,0,1819.98,0,0,6870.96,2412.01
0,178,91,91,253.445,271.465,246.685,0,1370.08,0,0,300.876,928.662
0,178,92,92,549.734,383.223,3058.3,0,11674.2,0,0,14447.2,12256.3
0,178,93,93,199.768,13.1096,577.691,0,17278.8,0,0,12994.6,19550.7
0,178,94,94,2803.71,1953.69,15033.6,0,39901.7,0,0,52007,48352.8
0,178,95,95,1577.69,1389.99,8225.53,0,48096.5,0,0,50140.3,56475.4
0,178,96,96,212.427,243.941,168.517,0,2222.43,0,0,209.991,1762.11
0,178,97,97,1384.66,424.707,5642.71,0,20297.4,0,0,13134.2,21883.7
0,178,98,98,175.183,26.7492,238.051,0,2440.47,0,0,1392.65,3174.46
0,178,99,99,145.396,758.209,262.298,0,15717.3,0,0,26892.4,20367.4
0,178,100,100,899.666,373.223,3529.26,0,28719.7,0,0,20452.7,29198
0,178,101,101,410.972,74.3011,1650,0,12277.5,0,0,8748.97,12548.6
0,178,102,102,112.925,81.8788,23.2356,0,1419.51,0,0,376.131,1539.37
0,178,104,104,289.743,295.616,199.79,0,2404.21,0,0,568.887,1714.12
0,178,106,106,280.816,552.468,1472.5,0,22851,0,0,32627.1,23267.2
0,178,107,107,126.648,25.41,365.342,0,3189.27,0,0,4232.2,4098.66
0,178,108,108,158.603,187.327,9.94933,0,1608.47,0,0,370.517,1363.87
0,178,109,109,2418.46,372.641,10788.8,0,21861.9,0,0,10861.4,24023.1
0,178,110,110,238.508,270.535,562.919,0,8735.27,0,0,15507.6,8896.58
0,178,111,111,610.996,799.561,5197.93,0,16554.6,0,0,22782.5,18860.4
0,178,112,112,154.888,67.288,94.6273,0,6243.84,0,0,4283.29,7753.95
0,178,113,113,178.452,28.4837,627.745,0,1620.08,0,0,733.321,1614.14
0,178,114,114,1735.1,496.781,7457.87,0,23085.6,0,0,16635.9,27493.4
0,178,115,115,1489.97,298.659,7221.78,0,22053.4,0,0,12284.6,24492.7
0,178,116,116,163.284,19.9854,243.49,0,4518.94,0,0,7152.51,5182.51
0,178,118,118,161.032,27.6933,284.31,0,2315.97,0,0,3046.72,2202.2
0,178,119,119,787.499,125.188,1581.94,0,7414.88,0,0,1351.64,7009.63
0,178,120,120,216.444,37.1719,266.18,0,1204.06,0,0,972.218,1251.29
0,178,122,122,143.456,95.7646,75.4165,0,1723.78,0,0,188.88,1690.28
0,178,123,123,137.806,38.0902,441.11,0,3486.39,0,0,2900.66,4363.02
0,178,124,124,160.66,85.4023,224.155,0,2565.58,0,0,247.158,2833.32
0,178,125,125,873.746,211.518,3734.68,0,14343.9,0,0,10951,14971.1
0,178,127,127,932.843,109.942,2036.27,0,9614.03,0,0,1330.19,9570.12
0,178,128,128,237.962,38.5288,96.3828,0,1533.54,0,0,2204.46,2073.86
0,178,129,129,2544.3,1456.99,16642.8,0,47963.9,0,0,42814.4,52335.4
0,178,130,130,407.855,98.7082,2537.33,0,24344.8,0,0,16835.4,24510.9
0,178,131,131,107.823,180.116,224.712,0,4123.17,0,0,9613.08,5493.74
0,178,132,132,362.747,103.571,381.128,0,1191.68,0,0,1216.1,915.098
0,178,133,133,262.596,37.7382,2028.64,0,7135.06,0,0,6224.35,10118.2
