real_name,slvl,rech_mmyr_v1,rech_mmyr_v2
0,0.26622626356394063,684.1983257156742,567.9187548415784
1,0.19433192994158116,741.8342165651328,573.8145286181899
2,0.47258055433334817,413.5540890913704,209.7213030386804
3,0.21464618823753764,337.47883695761186,449.64318330898277
4,0.22175913912018597,610.6862342909177,419.5450051099507
5,0.21149768882521627,584.6261845689887,654.6720262506497
6,0.36056354952853786,578.5376745623695,755.1267130843098
7,0.18021515155264187,680.6871353458425,932.5152772280144
8,0.25323048473177495,628.2049402440717,501.64644763097124
9,0.23469306700388845,667.5847024670028,582.885652024195
10,0.2325630932861092,457.7382257041581,527.0481286637411
11,0.27304354599972996,826.7049235343175,716.6426965174489
12,0.23277871084675933,523.2014287727353,516.2274187449985
13,0.4228645439181372,607.0801764890026,619.0800766100508
14,0.1239307692923348,527.2793265515152,733.8781718409462
17,0.2687319842190496,704.5549370674302,601.4428508127726
18,0.0872792919752682,615.989868737667,615.5562836340282
19,0.044821487895859796,730.4199383714841,529.6185676710196
21,0.2762070017986066,348.25587009843264,705.1347355872283
22,0.1978269854756678,679.9011793714367,367.8864114594568
23,0.16697598265685554,481.35970729253097,385.39313136558815
25,0.07199257882877957,605.6950764328265,790.6763047475965
26,0.21413307615922827,219.3538470309795,748.1770128046576
27,0.3212716904209764,656.2355411252886,313.3869344557075
28,0.27514687905623875,554.1515401094015,691.8909797679238
29,0.41494337521605884,661.243363271451,597.9094103075469
30,0.3078893124741706,620.6697441764683,657.6615776645301
31,0.15221130224081214,252.6653051839053,648.6963606355486
32,0.060226841315200924,509.82137528133876,286.64157207333494
33,0.24083505085186063,593.267047917024,735.0407199944041
34,0.25838243184113835,682.9576444065498,735.6182190706111
35,0.29959373836208975,475.842596722353,472.74359935453214
36,0.14625984879019607,573.2338890212582,495.17456209723014
37,0.13907589194377157,473.2570358876032,379.95268985942215
38,0.2002834266932586,644.4395490502455,515.2150170497162
39,0.1673180103540033,553.3429016902106,656.0465432614267
40,0.2847592170525939,431.1416796991821,542.113665266389
41,0.2535212504745179,825.3502763724482,647.6599490726877
43,0.16257859371745803,758.8112016219644,493.62457171142637
44,0.08149713091742,673.0620382895668,505.9962348262404
46,0.07303144146186868,602.500025431177,706.0721638707364
48,0.030396485916055843,629.5209792045347,659.9060884169304
51,0.03566887574450231,524.9353771383968,511.4231542373132
52,0.28172251179922,439.40958597151973,460.7905082385414
53,0.24159529112494516,810.5913437929381,682.7961714765964
54,0.2241634063631329,626.1008039565664,474.9945309456218
55,0.24724247880903089,765.1074387486002,579.2521544678143
56,0.17025021601439003,500.00788866391554,737.1974658014942
57,0.2007553876042305,510.6700259624097,401.4168366785341
58,0.45290785248441,420.0823781926646,750.9809856123028
60,0.1746579648425285,505.696954162984,269.86153630910457
61,0.24290106366741232,531.8335395593209,748.1959049294622
62,0.20113188364209655,749.334245100546,459.0388833931963
63,0.03712278559812526,763.4155661337873,525.5412220783729
64,0.30354459039329235,650.9544458525554,400.9780482652918
65,0.2276401167427529,619.4606517357664,140.8030090517505
66,0.16068320709096712,646.6313052226077,447.25361717671313
67,0.15998000321823147,270.662315389597,630.2840300053214
69,0.39684824625759885,467.44439340955216,754.7942315788002
71,0.11154332153505445,445.43094547084115,550.640779445806
72,0.14158158294212644,494.4635340966911,836.936842155098
73,0.32830389177084,394.5610352727057,651.5686978631759
74,0.30850166914018234,492.1067491482836,398.15348375296946
76,0.17635702481905982,629.9266910567472,373.10200727279414
77,0.15432631536695735,597.9414060637234,470.24239149135894
78,0.1124987738510491,636.1454471603366,575.9326733976291
79,0.2508232433770788,493.1161400818167,579.8881209876961
80,0.0993225269162895,917.5263396036191,536.7407934864277
81,0.1971355288115055,586.4545595576627,495.59474444041217
82,0.1822843038233646,554.3088023077293,435.2554653706375
84,0.09987269862526828,701.6052691834825,427.5807825245763
85,0.21375044577028335,282.63628738183183,531.8862781467591
86,0.10839134968745669,736.9459261797059,685.8434390489291
87,0.1102938497418026,877.614172521164,730.9981872911335
88,0.044928622249632455,618.0682271785832,438.9813816707852
89,0.0544613701340759,347.66217919327113,268.6736575743079
90,0.1976845063041735,621.3169413507197,600.5708763995143
91,0.08006827936871808,650.4181908399754,492.1339909777156
