child,parent_1,parent_2,parent_3
GEN=2_MEMBER=42_DE,GEN=1_MEMBER=10_DE,GEN=1_MEMBER=3_DE,GEN=0_MEMBER=9,GEN=0_MEMBER=24
GEN=2_MEMBER=43_DE,GEN=1_MEMBER=4_DE,GEN=1_MEMBER=0_DE,GEN=1_MEMBER=24_DE,GEN=1_MEMBER=14_DE
GEN=2_MEMBER=44_DE,GEN=1_MEMBER=10_DE,GEN=1_MEMBER=14_DE,GEN=0_MEMBER=19,GEN=0_MEMBER=20
GEN=2_MEMBER=45_DE,GEN=1_MEMBER=10_DE,GEN=0_MEMBER=15,GEN=0_MEMBER=9,GEN=0_MEMBER=21
GEN=2_MEMBER=46_DE,GEN=1_MEMBER=2_DE,GEN=1_MEMBER=4_DE,GEN=0_MEMBER=2,GEN=1_MEMBER=0_DE
GEN=2_MEMBER=47_DE,GEN=1_MEMBER=10_DE,GEN=0_MEMBER=16,GEN=0_MEMBER=27,GEN=1_MEMBER=15_DE
GEN=2_MEMBER=48_DE,GEN=1_MEMBER=29_DE,GEN=0_MEMBER=8,GEN=0_MEMBER=24,GEN=1_MEMBER=9_DE
GEN=2_MEMBER=49_DE,GEN=1_MEMBER=4_DE,GEN=0_MEMBER=2,GEN=1_MEMBER=0_DE,GEN=0_MEMBER=24
GEN=2_MEMBER=50_DE,GEN=1_MEMBER=2_DE,GEN=1_MEMBER=4_DE,GEN=0_MEMBER=11,GEN=0_MEMBER=21
GEN=2_MEMBER=51_DE,GEN=1_MEMBER=0_DE,GEN=1_MEMBER=24_DE,GEN=0_MEMBER=27,GEN=0_MEMBER=21
GEN=2_MEMBER=52_DE,GEN=1_MEMBER=4_DE,GEN=1_MEMBER=27_DE,GEN=1_MEMBER=24_DE,GEN=0_MEMBER=27
GEN=2_MEMBER=53_DE,GEN=1_MEMBER=27_DE,GEN=1_MEMBER=14_DE,GEN=0_MEMBER=9,GEN=0_MEMBER=20
GEN=2_MEMBER=54_DE,GEN=1_MEMBER=2_DE,GEN=0_MEMBER=2,GEN=0_MEMBER=27,GEN=1_MEMBER=16_DE
GEN=2_MEMBER=55_DE,GEN=1_MEMBER=10_DE,GEN=1_MEMBER=4_DE,GEN=0_MEMBER=16,GEN=1_MEMBER=23_DE
GEN=2_MEMBER=56_DE,GEN=1_MEMBER=2_DE,GEN=1_MEMBER=10_DE,GEN=0_MEMBER=2,GEN=1_MEMBER=23_DE
GEN=2_MEMBER=57_DE,GEN=1_MEMBER=10_DE,GEN=0_MEMBER=2,GEN=0_MEMBER=15,GEN=0_MEMBER=27
GEN=2_MEMBER=58_DE,GEN=1_MEMBER=24_DE,GEN=1_MEMBER=9_DE,GEN=0_MEMBER=11,GEN=1_MEMBER=15_DE
GEN=2_MEMBER=59_DE,GEN=0_MEMBER=2,GEN=1_MEMBER=0_DE,GEN=1_MEMBER=14_DE,GEN=1_MEMBER=3_DE
GEN=3_MEMBER=60_DE,GEN=1_MEMBER=2_DE,GEN=2_MEMBER=55_DE,GEN=1_MEMBER=27_DE,GEN=1_MEMBER=24_DE
GEN=3_MEMBER=61_DE,GEN=2_MEMBER=36_DE,GEN=1_MEMBER=27_DE,GEN=0_MEMBER=2,GEN=1_MEMBER=22_DE
GEN=3_MEMBER=62_DE,GEN=2_MEMBER=55_DE,GEN=1_MEMBER=4_DE,GEN=0_MEMBER=2,GEN=0_MEMBER=24
GEN=3_MEMBER=63_DE,GEN=1_MEMBER=27_DE,GEN=1_MEMBER=10_DE,GEN=2_MEMBER=35_DE,GEN=2_MEMBER=34_DE
GEN=3_MEMBER=64_DE,GEN=2_MEMBER=49_DE,GEN=2_MEMBER=55_DE,GEN=1_MEMBER=4_DE,GEN=1_MEMBER=23_DE
GEN=3_MEMBER=65_DE,GEN=1_MEMBER=2_DE,GEN=2_MEMBER=36_DE,GEN=1_MEMBER=27_DE,GEN=2_MEMBER=33_DE
GEN=3_MEMBER=66_DE,GEN=1_MEMBER=27_DE,GEN=2_MEMBER=33_DE,GEN=0_MEMBER=15,GEN=0_MEMBER=2
GEN=3_MEMBER=67_DE,GEN=2_MEMBER=42_DE,GEN=2_MEMBER=36_DE,GEN=2_MEMBER=33_DE,GEN=0_MEMBER=2
GEN=3_MEMBER=68_DE,GEN=1_MEMBER=2_DE,GEN=2_MEMBER=55_DE,GEN=1_MEMBER=4_DE,GEN=1_MEMBER=27_DE
GEN=3_MEMBER=69_DE,GEN=1_MEMBER=2_DE,GEN=1_MEMBER=0_DE,GEN=1_MEMBER=10_DE,GEN=0_MEMBER=15
GEN=3_MEMBER=70_DE,GEN=2_MEMBER=49_DE,GEN=1_MEMBER=4_DE,GEN=2_MEMBER=38_DE,GEN=1_MEMBER=27_DE
GEN=3_MEMBER=71_DE,GEN=2_MEMBER=42_DE,GEN=1_MEMBER=4_DE,GEN=2_MEMBER=38_DE,GEN=0_MEMBER=15
GEN=3_MEMBER=72_DE,GEN=1_MEMBER=2_DE,GEN=2_MEMBER=49_DE,GEN=1_MEMBER=4_DE,GEN=2_MEMBER=33_DE
GEN=3_MEMBER=73_DE,GEN=2_MEMBER=36_DE,GEN=2_MEMBER=49_DE,GEN=1_MEMBER=4_DE,GEN=1_MEMBER=0_DE
GEN=3_MEMBER=74_DE,GEN=1_MEMBER=4_DE,GEN=2_MEMBER=38_DE,GEN=1_MEMBER=14_DE,GEN=0_MEMBER=8
GEN=3_MEMBER=75_DE,GEN=2_MEMBER=42_DE,GEN=1_MEMBER=2_DE,GEN=1_MEMBER=24_DE,GEN=0_MEMBER=19
GEN=3_MEMBER=76_DE,GEN=2_MEMBER=42_DE,GEN=1_MEMBER=4_DE,GEN=2_MEMBER=38_DE,GEN=1_MEMBER=14_DE
GEN=3_MEMBER=77_DE,GEN=2_MEMBER=36_DE,GEN=2_MEMBER=49_DE,GEN=1_MEMBER=24_DE,GEN=0_MEMBER=8
GEN=3_MEMBER=78_DE,GEN=2_MEMBER=55_DE,GEN=2_MEMBER=38_DE,GEN=0_MEMBER=15,GEN=0_MEMBER=2
GEN=3_MEMBER=79_DE,GEN=2_MEMBER=38_DE,GEN=1_MEMBER=10_DE,GEN=0_MEMBER=2,GEN=1_MEMBER=23_DE
GEN=3_MEMBER=80_DE,GEN=2_MEMBER=49_DE,GEN=2_MEMBER=55_DE,GEN=2_MEMBER=38_DE,GEN=1_MEMBER=24_DE
